"date","true","true_lag","model","lag","startdt","enddt","h","pred","forecastdate"
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2017-01-01,5,0.00565255100876341,2017-04-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2017-01-01,6,0.0538126764070789,2017-04-01
2019-01-01,-0.0261992050556177,251.646481168881,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.0580422095491822,2017-04-01
2019-04-01,NA,342.013447086124,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.0818183322862144,2017-07-01
2019-07-01,NA,372.531061988077,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.0897720840179786,2017-10-01
2019-10-01,NA,569.964869168565,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.129023751637474,2018-01-01
2020-01-01,NA,245.139158955405,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.0287417765923651,2018-04-01
2020-04-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,-0.016828988535876,2018-07-01
2020-07-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,0.018831583696612,2018-10-01
2020-10-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-01-01,7,-0.027715828369873,2019-01-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2017-04-01,0,0.0485977604995622,2017-07-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2017-04-01,1,0.0638232565106497,2017-07-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2017-04-01,2,0.0371644775492274,2017-07-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2017-04-01,3,0.0267281556497829,2017-07-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2017-04-01,4,0.0202542965298769,2017-07-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2017-04-01,5,0.0212199371905596,2017-07-01
2019-01-01,-0.0261992050556177,251.646481168881,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.0234897156123107,2017-07-01
2019-04-01,NA,342.013447086124,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.0434138120898967,2017-10-01
2019-07-01,NA,372.531061988077,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.0760990627141988,2018-01-01
2019-10-01,NA,569.964869168565,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.00810947686298226,2018-04-01
2020-01-01,NA,245.139158955405,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.00726433976641297,2018-07-01
2020-04-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,0.00719489917001805,2018-10-01
2020-07-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-04-01,6,-0.0377896938870208,2019-01-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2017-07-01,0,0.00452136516727653,2017-10-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2017-07-01,1,0.0260606266458375,2017-10-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2017-07-01,2,0.0236263111820851,2017-10-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2017-07-01,3,0.031573224923188,2017-10-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2017-07-01,4,0.0365848585526325,2017-10-01
2019-01-01,-0.0261992050556177,251.646481168881,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,0.0126062719688822,2017-10-01
2019-04-01,NA,342.013447086124,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,0.0496024572228954,2018-01-01
2019-07-01,NA,372.531061988077,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,0.0118829191565171,2018-04-01
2019-10-01,NA,569.964869168565,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,0.00151100359538264,2018-07-01
2020-01-01,NA,245.139158955405,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,-0.0207053171270628,2018-10-01
2020-04-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2017-07-01,5,-0.0701538828645767,2019-01-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2017-10-01,0,0.0345003041896574,2018-01-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2017-10-01,1,0.0260974729016031,2018-01-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2017-10-01,2,0.0272943897405242,2018-01-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2017-10-01,3,0.0458751854060775,2018-01-01
2019-01-01,-0.0261992050556177,251.646481168881,"Adaptive LASSO",0,1996-01-01,2017-10-01,4,0.0492730847432584,2018-01-01
